
 S_max   P_max  K01    mu1    mu2    mu3    mu4 
+0.0026 0.0026 0.0246 0.0180 0.1600 0.1900 0.9667 
-0.9784 0.0028 0.1981 0.0180 0.1600 0.1900 1.0333 
+0.0030 0.0030 0.0174 0.0180 0.1600 0.1900 1.1000 
+0.0032 0.0032 0.0142 0.0180 0.1600 0.1900 1.1667 
+0.0035 0.0035 0.0226 0.0180 0.1600 0.1900 1.2333 
+0.0037 0.0037 0.0574 0.0180 0.1600 0.1900 1.3000 
+0.0039 0.0039 0.0195 0.0180 0.1600 0.1900 1.3667 
-8.7189 0.0041 0.9723 0.0180 0.1600 0.1900 1.4333 
-1.9790 0.0043 0.2983 0.0180 0.1600 0.1900 1.5000 
-2.4015 0.0011 0.3403 0.0180 0.1600 0.2000 0.5000 
+0.0013 0.0013 0.0034 0.0180 0.1600 0.2000 0.5667 
-1.5577 0.0016 0.2559 0.0180 0.1600 0.2000 0.6333 
+0.0018 0.0018 0.0556 0.0180 0.1600 0.2000 0.7000 
+0.0020 0.0020 0.0781 0.0180 0.1600 0.2000 0.7667 
+0.0022 0.0022 0.0140 0.0180 0.1600 0.2000 0.8333 
+0.0025 0.0025 0.0229 0.0180 0.1600 0.2000 0.9000 
+0.0027 0.0027 0.0553 0.0180 0.1600 0.2000 0.9667 
+0.0029 0.0029 0.0422 0.0180 0.1600 0.2000 1.0333 
+0.0032 0.0032 0.0962 0.0180 0.1600 0.2000 1.1000 
+0.0034 0.0034 0.0311 0.0180 0.1600 0.2000 1.1667 
-8.3659 0.0036 0.9370 0.0180 0.1600 0.2000 1.2333 
-2.2065 0.0039 0.3210 0.0180 0.1600 0.2000 1.3000 
+0.0041 0.0041 0.0839 0.0180 0.1600 0.2000 1.3667 
-0.0542 0.0043 0.1058 0.0180 0.1600 0.2000 1.4333 
-3.3071 0.0045 0.4312 0.0180 0.1600 0.2000 1.5000 
-8.9339 0.0061 0.9940 0.0180 0.1700 0.0500 0.5000 
-8.8674 0.0081 0.9875 0.0180 0.1700 0.0500 0.5667 
+0.0004 0.0004 0.0637 0.0180 0.1700 0.0500 0.6333 
-0.0461 0.0004 0.1047 0.0180 0.1700 0.0500 0.7000 
-0.5243 0.0005 0.1525 0.0180 0.1700 0.0500 0.7667 
+0.0006 0.0006 0.0245 0.0180 0.1700 0.0500 0.8333 
-0.2042 0.0006 0.1205 0.0180 0.1700 0.0500 0.9000 
+0.0007 0.0007 0.0139 0.0180 0.1700 0.0500 0.9667 
+0.0007 0.0007 0.0284 0.0180 0.1700 0.0500 1.0333 
-0.6920 0.0008 0.1693 0.0180 0.1700 0.0500 1.1000 
+0.0008 0.0008 0.0753 0.0180 0.1700 0.0500 1.1667 
+0.0009 0.0009 0.0749 0.0180 0.1700 0.0500 1.2333 
-0.1948 0.0009 0.1196 0.0180 0.1700 0.0500 1.3000 
-8.9271 0.0010 0.9928 0.0180 0.1700 0.0500 1.3667 
-0.5148 0.0010 0.1516 0.0180 0.1700 0.0500 1.4333 
+0.0011 0.0011 0.0434 0.0180 0.1700 0.0500 1.5000 
-8.7475 0.0066 0.9754 0.0180 0.1700 0.0600 0.5000 
-8.9678 0.0075 0.9975 0.0180 0.1700 0.0600 0.5667 
+0.0005 0.0005 0.0910 0.0180 0.1700 0.0600 0.6333 
+0.0005 0.0005 0.0048 0.0180 0.1700 0.0600 0.7000 
+0.0006 0.0006 0.0344 0.0180 0.1700 0.0600 0.7667 
+0.0007 0.0007 0.0580 0.0180 0.1700 0.0600 0.8333 
-1.0781 0.0007 0.2079 0.0180 0.1700 0.0600 0.9000 
+0.0008 0.0008 0.0497 0.0180 0.1700 0.0600 0.9667 
+0.0009 0.0009 0.0408 0.0180 0.1700 0.0600 1.0333 
+0.0009 0.0009 0.0592 0.0180 0.1700 0.0600 1.1000 
+0.0010 0.0010 0.0673 0.0180 0.1700 0.0600 1.1667 
+0.0011 0.0011 0.0750 0.0180 0.1700 0.0600 1.2333 
+0.0011 0.0011 0.0815 0.0180 0.1700 0.0600 1.3000 
+0.0012 0.0012 0.0453 0.0180 0.1700 0.0600 1.3667 
+0.0013 0.0013 0.0279 0.0180 0.1700 0.0600 1.4333 
+0.0013 0.0013 0.0183 0.0180 0.1700 0.0600 1.5000 
-8.9732 0.0072 0.9980 0.0180 0.1700 0.0700 0.5000 
-8.8654 0.0089 0.9874 0.0180 0.1700 0.0700 0.5667 
+0.0005 0.0005 0.0882 0.0180 0.1700 0.0700 0.6333 
-0.4351 0.0006 0.1436 0.0180 0.1700 0.0700 0.7000 
+0.0007 0.0007 0.0206 0.0180 0.1700 0.0700 0.7667 
+0.0008 0.0008 0.0326 0.0180 0.1700 0.0700 0.8333 
+0.0009 0.0009 0.0028 0.0180 0.1700 0.0700 0.9000 
-0.0602 0.0009 0.1061 0.0180 0.1700 0.0700 0.9667 
-1.0963 0.0010 0.2097 0.0180 0.1700 0.0700 1.0333 
+0.0011 0.0011 0.0543 0.0180 0.1700 0.0700 1.1000 
-0.0006 0.0012 0.1002 0.0180 0.1700 0.0700 1.1667 
-8.2146 0.0012 0.9216 0.0180 0.1700 0.0700 1.2333 
+0.0013 0.0013 0.0361 0.0180 0.1700 0.0700 1.3000 
-8.7441 0.0014 0.9745 0.0180 0.1700 0.0700 1.3667 
+0.0015 0.0015 0.0452 0.0180 0.1700 0.0700 1.4333 
+0.0015 0.0015 0.0293 0.0180 0.1700 0.0700 1.5000 
-8.8998 0.0088 0.9909 0.0180 0.1700 0.0800 0.5000 
-1.3438 0.0005 0.2344 0.0180 0.1700 0.0800 0.5667 
+0.0006 0.0006 0.0592 0.0180 0.1700 0.0800 0.6333 
+0.0007 0.0007 0.0121 0.0180 0.1700 0.0800 0.7000 
+0.0008 0.0008 0.0903 0.0180 0.1700 0.0800 0.7667 
+0.0009 0.0009 0.0846 0.0180 0.1700 0.0800 0.8333 
-3.0835 0.0010 0.4084 0.0180 0.1700 0.0800 0.9000 
+0.0011 0.0011 0.0514 0.0180 0.1700 0.0800 0.9667 
+0.0011 0.0011 0.0418 0.0180 0.1700 0.0800 1.0333 
+0.0012 0.0012 0.0071 0.0180 0.1700 0.0800 1.1000 
+0.0013 0.0013 0.0357 0.0180 0.1700 0.0800 1.1667 
-0.3763 0.0014 0.1378 0.0180 0.1700 0.0800 1.2333 
-8.5522 0.0015 0.9554 0.0180 0.1700 0.0800 1.3000 
+0.0016 0.0016 0.0277 0.0180 0.1700 0.0800 1.3667 
+0.0017 0.0017 0.0071 0.0180 0.1700 0.0800 1.4333 
-8.4840 0.0017 0.9486 0.0180 0.1700 0.0800 1.5000 
-8.8025 0.0105 0.9813 0.0180 0.1700 0.0900 0.5000 
+0.0006 0.0006 0.0924 0.0180 0.1700 0.0900 0.5667 
+0.0007 0.0007 0.0635 0.0180 0.1700 0.0900 0.6333 
+0.0008 0.0008 0.0291 0.0180 0.1700 0.0900 0.7000 
+0.0009 0.0009 0.0179 0.0180 0.1700 0.0900 0.7667 
-8.8691 0.0010 0.9870 0.0180 0.1700 0.0900 0.8333 
+0.0011 0.0011 0.0452 0.0180 0.1700 0.0900 0.9000 
-3.3000 0.0012 0.4301 0.0180 0.1700 0.0900 0.9667 
-2.6054 0.0013 0.3607 0.0180 0.1700 0.0900 1.0333 
+0.0014 0.0014 0.0158 0.0180 0.1700 0.0900 1.1000 
+0.0015 0.0015 0.0951 0.0180 0.1700 0.0900 1.1667 
+0.0016 0.0016 0.0780 0.0180 0.1700 0.0900 1.2333 
+0.0017 0.0017 0.0059 0.0180 0.1700 0.0900 1.3000 
-0.0199 0.0018 0.1022 0.0180 0.1700 0.0900 1.3667 
-5.3181 0.0019 0.6320 0.0180 0.1700 0.0900 1.4333 
+0.0020 0.0020 0.0196 0.0180 0.1700 0.0900 1.5000 
-8.7547 0.0030 0.9758 0.0180 0.1700 0.1000 0.5000 
-3.0640 0.0007 0.4065 0.0180 0.1700 0.1000 0.5667 
-1.8694 0.0008 0.2870 0.0180 0.1700 0.1000 0.6333 
-6.5196 0.0009 0.7520 0.0180 0.1700 0.1000 0.7000 
+0.0010 0.0010 0.0405 0.0180 0.1700 0.1000 0.7667 
-8.8716 0.0011 0.9873 0.0180 0.1700 0.1000 0.8333 
-0.0340 0.0012 0.1035 0.0180 0.1700 0.1000 0.9000 
+0.0013 0.0013 0.0269 0.0180 0.1700 0.1000 0.9667 
+0.0014 0.0014 0.0530 0.0180 0.1700 0.1000 1.0333 
-7.3840 0.0015 0.8386 0.0180 0.1700 0.1000 1.1000 
+0.0016 0.0016 0.0465 0.0180 0.1700 0.1000 1.1667 
-8.2312 0.0018 0.9233 0.0180 0.1700 0.1000 1.2333 
+0.0019 0.0019 0.0352 0.0180 0.1700 0.1000 1.3000 
+0.0020 0.0020 0.0355 0.0180 0.1700 0.1000 1.3667 
-0.7398 0.0021 0.1742 0.0180 0.1700 0.1000 1.4333 
+0.0022 0.0022 0.0361 0.0180 0.1700 0.1000 1.5000 
+0.0006 0.0006 0.0840 0.0180 0.1700 0.1100 0.5000 
+0.0007 0.0007 0.0258 0.0180 0.1700 0.1100 0.5667 
-2.4038 0.0008 0.3405 0.0180 0.1700 0.1100 0.6333 
+0.0010 0.0010 0.0671 0.0180 0.1700 0.1100 0.7000 
+0.0011 0.0011 0.0891 0.0180 0.1700 0.1100 0.7667 
+0.0012 0.0012 0.0331 0.0180 0.1700 0.1100 0.8333 
-0.8063 0.0013 0.1808 0.0180 0.1700 0.1100 0.9000 
+0.0014 0.0014 0.0020 0.0180 0.1700 0.1100 0.9667 
+0.0016 0.0016 0.0850 0.0180 0.1700 0.1100 1.0333 
-0.1642 0.0017 0.1166 0.0180 0.1700 0.1100 1.1000 
+0.0018 0.0018 0.0297 0.0180 0.1700 0.1100 1.1667 
+0.0019 0.0019 0.0058 0.0180 0.1700 0.1100 1.2333 
-8.7106 0.0020 0.9713 0.0180 0.1700 0.1100 1.3000 
-0.9341 0.0022 0.1936 0.0180 0.1700 0.1100 1.3667 
+0.0023 0.0023 0.0304 0.0180 0.1700 0.1100 1.4333 
+0.0024 0.0024 0.0097 0.0180 0.1700 0.1100 1.5000 
-8.7119 0.0007 0.9713 0.0180 0.1700 0.1200 0.5000 
+0.0008 0.0008 0.0539 0.0180 0.1700 0.1200 0.5667 
+0.0009 0.0009 0.0470 0.0180 0.1700 0.1200 0.6333 
+0.0011 0.0011 0.0875 0.0180 0.1700 0.1200 0.7000 
+0.0012 0.0012 0.0141 0.0180 0.1700 0.1200 0.7667 
+0.0013 0.0013 0.0666 0.0180 0.1700 0.1200 0.8333 
+0.0014 0.0014 0.0157 0.0180 0.1700 0.1200 0.9000 
+0.0016 0.0016 0.0321 0.0180 0.1700 0.1200 0.9667 
+0.0017 0.0017 0.0197 0.0180 0.1700 0.1200 1.0333 
-8.8393 0.0018 0.9841 0.0180 0.1700 0.1200 1.1000 
+0.0020 0.0020 0.0859 0.0180 0.1700 0.1200 1.1667 
-0.1585 0.0021 0.1161 0.0180 0.1700 0.1200 1.2333 
-0.9386 0.0022 0.1941 0.0180 0.1700 0.1200 1.3000 
-8.8707 0.0024 0.9873 0.0180 0.1700 0.1200 1.3667 
+0.0025 0.0025 0.0231 0.0180 0.1700 0.1200 1.4333 
+0.0026 0.0026 0.0717 0.0180 0.1700 0.1200 1.5000 
+0.0007 0.0007 0.1000 0.0180 0.1700 0.1300 0.5000 
+0.0009 0.0009 0.0161 0.0180 0.1700 0.1300 0.5667 
+0.0010 0.0010 0.0325 0.0180 0.1700 0.1300 0.6333 
+0.0011 0.0011 0.0016 0.0180 0.1700 0.1300 0.7000 
-6.3373 0.0013 0.7339 0.0180 0.1700 0.1300 0.7667 
+0.0014 0.0014 0.0256 0.0180 0.1700 0.1300 0.8333 
-0.1851 0.0016 0.1187 0.0180 0.1700 0.1300 0.9000 
+0.0017 0.0017 0.0662 0.0180 0.1700 0.1300 0.9667 
+0.0018 0.0018 0.0472 0.0180 0.1700 0.1300 1.0333 
-1.6938 0.0020 0.2696 0.0180 0.1700 0.1300 1.1000 
+0.0021 0.0021 0.0992 0.0180 0.1700 0.1300 1.1667 
+0.0023 0.0023 0.0294 0.0180 0.1700 0.1300 1.2333 
+0.0024 0.0024 0.0355 0.0180 0.1700 0.1300 1.3000 
+0.0025 0.0025 0.0017 0.0180 0.1700 0.1300 1.3667 
+0.0027 0.0027 0.0446 0.0180 0.1700 0.1300 1.4333 
-0.0753 0.0028 0.1078 0.0180 0.1700 0.1300 1.5000 
+0.0008 0.0008 0.0579 0.0180 0.1700 0.1400 0.5000 
+0.0009 0.0009 0.0103 0.0180 0.1700 0.1400 0.5667 
+0.0011 0.0011 0.0629 0.0180 0.1700 0.1400 0.6333 
+0.0012 0.0012 0.0927 0.0180 0.1700 0.1400 0.7000 
+0.0014 0.0014 0.0088 0.0180 0.1700 0.1400 0.7667 
+0.0015 0.0015 0.0267 0.0180 0.1700 0.1400 0.8333 
+0.0017 0.0017 0.0485 0.0180 0.1700 0.1400 0.9000 
+0.0018 0.0018 0.0102 0.0180 0.1700 0.1400 0.9667 
+0.0020 0.0020 0.0191 0.0180 0.1700 0.1400 1.0333 
-6.8190 0.0021 0.7821 0.0180 0.1700 0.1400 1.1000 
+0.0023 0.0023 0.0570 0.0180 0.1700 0.1400 1.1667 
-8.8787 0.0024 0.9881 0.0180 0.1700 0.1400 1.2333 
-2.4967 0.0026 0.3499 0.0180 0.1700 0.1400 1.3000 
-8.6899 0.0027 0.9693 0.0180 0.1700 0.1400 1.3667 
+0.0029 0.0029 0.0626 0.0180 0.1700 0.1400 1.4333 
-0.3920 0.0030 0.1395 0.0180 0.1700 0.1400 1.5000 
-0.7769 0.0008 0.1778 0.0180 0.1700 0.1500 0.5000 
-2.9489 0.0010 0.3950 0.0180 0.1700 0.1500 0.5667 
-1.3134 0.0011 0.2315 0.0180 0.1700 0.1500 0.6333 
-8.6991 0.0013 0.9700 0.0180 0.1700 0.1500 0.7000 
-1.0495 0.0015 0.2051 0.0180 0.1700 0.1500 0.7667 
-0.1703 0.0016 0.1172 0.0180 0.1700 0.1500 0.8333 
+0.0018 0.0018 0.0557 0.0180 0.1700 0.1500 0.9000 
+0.0020 0.0020 0.0547 0.0180 0.1700 0.1500 0.9667 
+0.0021 0.0021 0.0457 0.0180 0.1700 0.1500 1.0333 
-0.4529 0.0023 0.1455 0.0180 0.1700 0.1500 1.1000 
-8.8915 0.0025 0.9894 0.0180 0.1700 0.1500 1.1667 
+0.0026 0.0026 0.0261 0.0180 0.1700 0.1500 1.2333 
-8.9270 0.0028 0.9930 0.0180 0.1700 0.1500 1.3000 
+0.0029 0.0029 0.0059 0.0180 0.1700 0.1500 1.3667 
-0.3078 0.0031 0.1311 0.0180 0.1700 0.1500 1.4333 
-8.4599 0.0032 0.9463 0.0180 0.1700 0.1500 1.5000 
+0.0009 0.0009 0.0349 0.0180 0.1700 0.1600 0.5000 
+0.0010 0.0010 0.0255 0.0180 0.1700 0.1600 0.5667 
-0.6811 0.0012 0.1682 0.0180 0.1700 0.1600 0.6333 
+0.0014 0.0014 0.0732 0.0180 0.1700 0.1600 0.7000 
+0.0016 0.0016 0.0197 0.0180 0.1700 0.1600 0.7667 
+0.0017 0.0017 0.0387 0.0180 0.1700 0.1600 0.8333 
+0.0019 0.0019 0.0056 0.0180 0.1700 0.1600 0.9000 
+0.0021 0.0021 0.0808 0.0180 0.1700 0.1600 0.9667 
+0.0023 0.0023 0.0591 0.0180 0.1700 0.1600 1.0333 
+0.0024 0.0024 0.0106 0.0180 0.1700 0.1600 1.1000 
-0.4456 0.0026 0.1448 0.0180 0.1700 0.1600 1.1667 
+0.0028 0.0028 0.0051 0.0180 0.1700 0.1600 1.2333 
+0.0030 0.0030 0.0286 0.0180 0.1700 0.1600 1.3000 
+0.0031 0.0031 0.0062 0.0180 0.1700 0.1600 1.3667 
+0.0033 0.0033 0.0048 0.0180 0.1700 0.1600 1.4333 
+0.0035 0.0035 0.0201 0.0180 0.1700 0.1600 1.5000 
-0.2145 0.0009 0.1215 0.0180 0.1700 0.1700 0.5000 
+0.0011 0.0011 0.0770 0.0180 0.1700 0.1700 0.5667 
-8.9144 0.0013 0.9916 0.0180 0.1700 0.1700 0.6333 
+0.0015 0.0015 0.0156 0.0180 0.1700 0.1700 0.7000 
+0.0017 0.0017 0.0165 0.0180 0.1700 0.1700 0.7667 
-0.7040 0.0018 0.1706 0.0180 0.1700 0.1700 0.8333 
+0.0020 0.0020 0.0187 0.0180 0.1700 0.1700 0.9000 
+0.0022 0.0022 0.0259 0.0180 0.1700 0.1700 0.9667 
-8.4673 0.0024 0.9470 0.0180 0.1700 0.1700 1.0333 
+0.0026 0.0026 0.0557 0.0180 0.1700 0.1700 1.1000 
+0.0028 0.0028 0.0517 0.0180 0.1700 0.1700 1.1667 
+0.0030 0.0030 0.0127 0.0180 0.1700 0.1700 1.2333 
+0.0031 0.0031 0.0041 0.0180 0.1700 0.1700 1.3000 
-1.5388 0.0033 0.2542 0.0180 0.1700 0.1700 1.3667 
+0.0035 0.0035 0.0102 0.0180 0.1700 0.1700 1.4333 
-0.2560 0.0037 0.1260 0.0180 0.1700 0.1700 1.5000 
+0.0010 0.0010 0.0449 0.0180 0.1700 0.1800 0.5000 
-0.3745 0.0012 0.1376 0.0180 0.1700 0.1800 0.5667 
-0.4091 0.0014 0.1410 0.0180 0.1700 0.1800 0.6333 
-0.0239 0.0016 0.1025 0.0180 0.1700 0.1800 0.7000 
+0.0017 0.0017 0.0270 0.0180 0.1700 0.1800 0.7667 
+0.0019 0.0019 0.0061 0.0180 0.1700 0.1800 0.8333 
-8.7044 0.0021 0.9707 0.0180 0.1700 0.1800 0.9000 
-0.0310 0.0023 0.1033 0.0180 0.1700 0.1800 0.9667 
+0.0025 0.0025 0.0665 0.0180 0.1700 0.1800 1.0333 
+0.0027 0.0027 0.0781 0.0180 0.1700 0.1800 1.1000 
+0.0029 0.0029 0.0738 0.0180 0.1700 0.1800 1.1667 
-8.7670 0.0031 0.9770 0.0180 0.1700 0.1800 1.2333 
+0.0033 0.0033 0.0935 0.0180 0.1700 0.1800 1.3000 
+0.0035 0.0035 0.0928 0.0180 0.1700 0.1800 1.3667 
+0.0037 0.0037 0.0584 0.0180 0.1700 0.1800 1.4333 
+0.0039 0.0039 0.0086 0.0180 0.1700 0.1800 1.5000 
+0.0010 0.0010 0.0948 0.0180 0.1700 0.1900 0.5000 
-1.6294 0.0012 0.2631 0.0180 0.1700 0.1900 0.5667 
-5.7313 0.0014 0.6733 0.0180 0.1700 0.1900 0.6333 
-0.0883 0.0016 0.1090 0.0180 0.1700 0.1900 0.7000 
+0.0018 0.0018 0.0685 0.0180 0.1700 0.1900 0.7667 
+0.0020 0.0020 0.0581 0.0180 0.1700 0.1900 0.8333 
-2.5022 0.0023 0.3504 0.0180 0.1700 0.1900 0.9000 
+0.0025 0.0025 0.0961 0.0180 0.1700 0.1900 0.9667 
+0.0027 0.0027 0.0485 0.0180 0.1700 0.1900 1.0333 
+0.0029 0.0029 0.0582 0.0180 0.1700 0.1900 1.1000 
-8.1222 0.0031 0.9125 0.0180 0.1700 0.1900 1.1667 
+0.0033 0.0033 0.0968 0.0180 0.1700 0.1900 1.2333 
+0.0035 0.0035 0.0098 0.0180 0.1700 0.1900 1.3000 
+0.0037 0.0037 0.0510 0.0180 0.1700 0.1900 1.3667 
-8.4239 0.0039 0.9428 0.0180 0.1700 0.1900 1.4333 
-8.4657 0.0041 0.9470 0.0180 0.1700 0.1900 1.5000 
+0.0011 0.0011 0.0296 0.0180 0.1700 0.2000 0.5000 
+0.0013 0.0013 0.0113 0.0180 0.1700 0.2000 0.5667 
+0.0015 0.0015 0.0318 0.0180 0.1700 0.2000 0.6333 
+0.0017 0.0017 0.0470 0.0180 0.1700 0.2000 0.7000 
+0.0019 0.0019 0.0617 0.0180 0.1700 0.2000 0.7667 
+0.0021 0.0021 0.0360 0.0180 0.1700 0.2000 0.8333 
+0.0024 0.0024 0.0078 0.0180 0.1700 0.2000 0.9000 
+0.0026 0.0026 0.0159 0.0180 0.1700 0.2000 0.9667 
-8.8015 0.0028 0.9804 0.0180 0.1700 0.2000 1.0333 
-0.2006 0.0030 0.1204 0.0180 0.1700 0.2000 1.1000 
+0.0032 0.0032 0.0336 0.0180 0.1700 0.2000 1.1667 
+0.0034 0.0034 0.0056 0.0180 0.1700 0.2000 1.2333 
-7.5272 0.0037 0.8531 0.0180 0.1700 0.2000 1.3000 
-8.7658 0.0039 0.9770 0.0180 0.1700 0.2000 1.3667 
+0.0041 0.0041 0.0377 0.0180 0.1700 0.2000 1.4333 
+0.0043 0.0043 0.0353 0.0180 0.1700 0.2000 1.5000 
-8.9691 0.0038 0.9973 0.0180 0.1800 0.0500 0.5000 
+0.0003 0.0003 0.0298 0.0180 0.1800 0.0500 0.5667 
-8.7393 0.0004 0.9740 0.0180 0.1800 0.0500 0.6333 
+0.0004 0.0004 0.0201 0.0180 0.1800 0.0500 0.7000 
+0.0005 0.0005 0.0075 0.0180 0.1800 0.0500 0.7667 
+0.0005 0.0005 0.0162 0.0180 0.1800 0.0500 0.8333 
+0.0006 0.0006 0.0220 0.0180 0.1800 0.0500 0.9000 
+0.0006 0.0006 0.0769 0.0180 0.1800 0.0500 0.9667 
-0.0621 0.0007 0.1063 0.0180 0.1800 0.0500 1.0333 
+0.0007 0.0007 0.0329 0.0180 0.1800 0.0500 1.1000 
-1.8655 0.0008 0.2866 0.0180 0.1800 0.0500 1.1667 
-0.5012 0.0008 0.1502 0.0180 0.1800 0.0500 1.2333 
+0.0009 0.0009 0.0749 0.0180 0.1800 0.0500 1.3000 
+0.0009 0.0009 0.0496 0.0180 0.1800 0.0500 1.3667 
-0.4775 0.0010 0.1478 0.0180 0.1800 0.0500 1.4333 
+0.0010 0.0010 0.0608 0.0180 0.1800 0.0500 1.5000 
-8.8075 0.0022 0.9810 0.0180 0.1800 0.0600 0.5000 
+0.0004 0.0004 0.0280 0.0180 0.1800 0.0600 0.5667 
+0.0004 0.0004 0.0237 0.0180 0.1800 0.0600 0.6333 
+0.0005 0.0005 0.0073 0.0180 0.1800 0.0600 0.7000 
+0.0006 0.0006 0.0230 0.0180 0.1800 0.0600 0.7667 
+0.0006 0.0006 0.0374 0.0180 0.1800 0.0600 0.8333 
-3.1272 0.0007 0.4128 0.0180 0.1800 0.0600 0.9000 
+0.0008 0.0008 0.0275 0.0180 0.1800 0.0600 0.9667 
+0.0008 0.0008 0.0391 0.0180 0.1800 0.0600 1.0333 
-0.4133 0.0009 0.1414 0.0180 0.1800 0.0600 1.1000 
-8.5286 0.0009 0.9530 0.0180 0.1800 0.0600 1.1667 
+0.0010 0.0010 0.0476 0.0180 0.1800 0.0600 1.2333 
+0.0011 0.0011 0.0148 0.0180 0.1800 0.0600 1.3000 
+0.0011 0.0011 0.0732 0.0180 0.1800 0.0600 1.3667 
+0.0012 0.0012 0.0574 0.0180 0.1800 0.0600 1.4333 
+0.0012 0.0012 0.0871 0.0180 0.1800 0.0600 1.5000 
-8.4327 0.0087 0.9441 0.0180 0.1800 0.0700 0.5000 
+0.0005 0.0005 0.0439 0.0180 0.1800 0.0700 0.5667 
+0.0005 0.0005 0.0428 0.0180 0.1800 0.0700 0.6333 
+0.0006 0.0006 0.0005 0.0180 0.1800 0.0700 0.7000 
+0.0007 0.0007 0.0625 0.0180 0.1800 0.0700 0.7667 
-0.2954 0.0007 0.1296 0.0180 0.1800 0.0700 0.8333 
+0.0008 0.0008 0.0679 0.0180 0.1800 0.0700 0.9000 
-8.5003 0.0009 0.9501 0.0180 0.1800 0.0700 0.9667 
-3.8424 0.0010 0.4843 0.0180 0.1800 0.0700 1.0333 
+0.0010 0.0010 0.0959 0.0180 0.1800 0.0700 1.1000 
+0.0011 0.0011 0.0971 0.0180 0.1800 0.0700 1.1667 
-0.5142 0.0012 0.1515 0.0180 0.1800 0.0700 1.2333 
+0.0012 0.0012 0.0491 0.0180 0.1800 0.0700 1.3000 
+0.0013 0.0013 0.0370 0.0180 0.1800 0.0700 1.3667 
+0.0014 0.0014 0.0553 0.0180 0.1800 0.0700 1.4333 
+0.0015 0.0015 0.0507 0.0180 0.1800 0.0700 1.5000 
-0.2259 0.0004 0.1226 0.0180 0.1800 0.0800 0.5000 
-1.9410 0.0005 0.2942 0.0180 0.1800 0.0800 0.5667 
-0.0479 0.0006 0.1048 0.0180 0.1800 0.0800 0.6333 
-6.7431 0.0007 0.7744 0.0180 0.1800 0.0800 0.7000 
-8.4516 0.0008 0.9452 0.0180 0.1800 0.0800 0.7667 
-0.2060 0.0008 0.1207 0.0180 0.1800 0.0800 0.8333 
-0.6271 0.0009 0.1628 0.0180 0.1800 0.0800 0.9000 
+0.0010 0.0010 0.0557 0.0180 0.1800 0.0800 0.9667 
+0.0011 0.0011 0.0637 0.0180 0.1800 0.0800 1.0333 
+0.0012 0.0012 0.0486 0.0180 0.1800 0.0800 1.1000 
+0.0013 0.0013 0.0167 0.0180 0.1800 0.0800 1.1667 
-0.5669 0.0013 0.1568 0.0180 0.1800 0.0800 1.2333 
+0.0014 0.0014 0.0841 0.0180 0.1800 0.0800 1.3000 
+0.0015 0.0015 0.0797 0.0180 0.1800 0.0800 1.3667 
+0.0016 0.0016 0.0275 0.0180 0.1800 0.0800 1.4333 
+0.0017 0.0017 0.0490 0.0180 0.1800 0.0800 1.5000 
-8.9567 0.0095 0.9966 0.0180 0.1800 0.0900 0.5000 
-8.5353 0.0006 0.9536 0.0180 0.1800 0.0900 0.5667 
-0.3443 0.0007 0.1345 0.0180 0.1800 0.0900 0.6333 
-0.7567 0.0008 0.1757 0.0180 0.1800 0.0900 0.7000 
+0.0009 0.0009 0.0677 0.0180 0.1800 0.0900 0.7667 
+0.0009 0.0009 0.0271 0.0180 0.1800 0.0900 0.8333 
+0.0010 0.0010 0.0198 0.0180 0.1800 0.0900 0.9000 
-2.5658 0.0011 0.3567 0.0180 0.1800 0.0900 0.9667 
+0.0012 0.0012 0.0844 0.0180 0.1800 0.0900 1.0333 
-8.8958 0.0013 0.9897 0.0180 0.1800 0.0900 1.1000 
-8.7018 0.0014 0.9703 0.0180 0.1800 0.0900 1.1667 
+0.0015 0.0015 0.0245 0.0180 0.1800 0.0900 1.2333 
-0.9054 0.0016 0.1907 0.0180 0.1800 0.0900 1.3000 
+0.0017 0.0017 0.0188 0.0180 0.1800 0.0900 1.3667 
+0.0018 0.0018 0.0388 0.0180 0.1800 0.0900 1.4333 
-0.2048 0.0019 0.1207 0.0180 0.1800 0.0900 1.5000 
-8.2905 0.0030 0.9294 0.0180 0.1800 0.1000 0.5000 
+0.0006 0.0006 0.0071 0.0180 0.1800 0.1000 0.5667 
+0.0007 0.0007 0.0714 0.0180 0.1800 0.1000 0.6333 
-1.3557 0.0008 0.2356 0.0180 0.1800 0.1000 0.7000 
+0.0009 0.0009 0.0248 0.0180 0.1800 0.1000 0.7667 
+0.0011 0.0011 0.0146 0.0180 0.1800 0.1000 0.8333 
+0.0012 0.0012 0.0959 0.0180 0.1800 0.1000 0.9000 
-0.2485 0.0013 0.1250 0.0180 0.1800 0.1000 0.9667 
-0.2505 0.0014 0.1252 0.0180 0.1800 0.1000 1.0333 
+0.0015 0.0015 0.0631 0.0180 0.1800 0.1000 1.1000 
+0.0016 0.0016 0.0123 0.0180 0.1800 0.1000 1.1667 
-0.2176 0.0017 0.1219 0.0180 0.1800 0.1000 1.2333 
+0.0018 0.0018 0.0471 0.0180 0.1800 0.1000 1.3000 
+0.0019 0.0019 0.0824 0.0180 0.1800 0.1000 1.3667 
-8.5507 0.0020 0.9553 0.0180 0.1800 0.1000 1.4333 
-8.4697 0.0021 0.9472 0.0180 0.1800 0.1000 1.5000 
