
 S_max   P_max  K01    mu1    mu2    mu3    mu4 
-8.9689 0.0279 0.9997 0.0100 0.0500 0.1000 0.8333 
-8.5595 0.0102 0.9570 0.0100 0.0500 0.1000 0.9000 
+0.0030 0.0030 0.0579 0.0100 0.0500 0.1000 0.9667 
-8.9535 0.0442 0.9998 0.0100 0.0500 0.1000 1.0333 
-8.6913 0.0094 0.9701 0.0100 0.0500 0.1000 1.1000 
-0.0131 0.0039 0.1017 0.0100 0.0500 0.1000 1.1667 
+0.0042 0.0042 0.0954 0.0100 0.0500 0.1000 1.2333 
-1.0122 0.0045 0.2017 0.0100 0.0500 0.1000 1.3000 
-1.2586 0.0048 0.2263 0.0100 0.0500 0.1000 1.3667 
+0.0052 0.0052 0.0251 0.0100 0.0500 0.1000 1.4333 
-1.5022 0.0055 0.2508 0.0100 0.0500 0.1000 1.5000 
-8.8866 0.0124 0.9899 0.0100 0.0500 0.1100 0.5000 
-8.9279 0.0164 0.9944 0.0100 0.0500 0.1100 0.5667 
-8.9588 0.0192 0.9978 0.0100 0.0500 0.1100 0.6333 
-8.9028 0.0240 0.9927 0.0100 0.0500 0.1100 0.7000 
-8.9580 0.0293 0.9987 0.0100 0.0500 0.1100 0.7667 
-8.8985 0.0301 0.9929 0.0100 0.0500 0.1100 0.8333 
-1.5567 0.0031 0.2560 0.0100 0.0500 0.1100 0.9000 
-1.8412 0.0073 0.2849 0.0100 0.0500 0.1100 0.9667 
+0.0036 0.0036 0.0752 0.0100 0.0500 0.1100 1.0333 
-0.7135 0.0040 0.1717 0.0100 0.0500 0.1100 1.1000 
-1.1596 0.0044 0.2164 0.0100 0.0500 0.1100 1.1667 
-8.9553 0.0327 0.9988 0.0100 0.0500 0.1100 1.2333 
+0.0050 0.0050 0.0026 0.0100 0.0500 0.1100 1.3000 
-2.1131 0.0053 0.3118 0.0100 0.0500 0.1100 1.3667 
-1.6492 0.0057 0.2655 0.0100 0.0500 0.1100 1.4333 
+0.0060 0.0060 0.0016 0.0100 0.0500 0.1100 1.5000 
-8.9844 0.0132 0.9998 0.0100 0.0500 0.1200 0.5000 
-8.9638 0.0152 0.9979 0.0100 0.0500 0.1200 0.5667 
-7.1443 0.0195 0.8164 0.0100 0.0500 0.1200 0.6333 
-8.9096 0.0248 0.9934 0.0100 0.0500 0.1200 0.7000 
-8.9454 0.0254 0.9971 0.0100 0.0500 0.1200 0.7667 
-8.9036 0.0341 0.9938 0.0100 0.0500 0.1200 0.8333 
+0.0033 0.0033 0.0224 0.0100 0.0500 0.1200 0.9000 
+0.0036 0.0036 0.0574 0.0100 0.0500 0.1200 0.9667 
-1.4484 0.0040 0.2452 0.0100 0.0500 0.1200 1.0333 
-1.1050 0.0043 0.2109 0.0100 0.0500 0.1200 1.1000 
