
 t   S_max   P_max  K01    mu1    mu2    mu3    mu4   sigma_max 
001 +0.0036 0.0036 0.0155 0.0302 0.1279 0.1088 1.1330 1.3445 
002 +0.0080 0.0080 0.0629 0.0322 0.1274 0.1092 1.2079 0.4497 
003 +0.0063 0.0063 0.0448 0.0357 0.1182 0.1064 1.2108 0.2855 
004 +0.0074 0.0074 0.0220 0.0374 0.1276 0.1191 1.1614 0.1785 
005 +0.0099 0.0099 0.0028 0.0359 0.1225 0.1321 1.1968 0.1894 
006 +0.0070 0.0070 0.0773 0.0403 0.1229 0.1496 1.3052 0.1594 
007 +0.0096 0.0096 0.0285 0.0362 0.1197 0.1600 1.3525 0.1094 
008 +0.0101 0.0101 0.0315 0.0345 0.1167 0.1634 1.4042 0.0847 
009 +0.0111 0.0111 0.0165 0.0356 0.1103 0.1682 1.4135 0.0828 
010 +0.0111 0.0111 0.0709 0.0352 0.1133 0.1710 1.4058 0.0792 
011 +0.0128 0.0128 0.0226 0.0327 0.1095 0.1625 1.4186 0.0712 
012 +0.0116 0.0116 0.0456 0.0324 0.1108 0.1561 1.4111 0.0643 
013 +0.0122 0.0122 0.0733 0.0290 0.1111 0.1635 1.4181 0.0594 
014 +0.0125 0.0125 0.0493 0.0309 0.1096 0.1735 1.4561 0.0484 
015 +0.0153 0.0153 0.0170 0.0287 0.1075 0.1691 1.4452 0.0505 
016 +0.0132 0.0132 0.0455 0.0276 0.1084 0.1636 1.4634 0.0423 
017 +0.1325 0.1325 0.0583 0.0258 0.1072 0.1706 1.4609 0.0428 
018 +0.1339 0.1339 0.0504 0.0252 0.1082 0.1715 1.4478 0.0403 
019 +0.1416 0.1416 0.0657 0.0247 0.1072 0.1731 1.4527 0.0345 
020 +0.0135 0.0135 0.0117 0.0250 0.1071 0.1773 1.4404 0.0352 
021 +0.1327 0.1327 0.0762 0.0251 0.1094 0.1801 1.4203 0.0343 
022 +0.0329 0.1343 0.1101 0.0248 0.1100 0.1754 1.4214 0.0333 
023 +0.1349 0.1349 0.0822 0.0248 0.1080 0.1813 1.4098 0.0325 
024 +0.0195 0.1435 0.1124 0.0250 0.1109 0.1815 1.4042 0.0329 
025 +0.1302 0.1302 0.0125 0.0248 0.1097 0.1794 1.4041 0.0336 
026 +0.1296 0.1296 0.0494 0.0245 0.1105 0.1786 1.4016 0.0331 
027 +0.1376 0.1376 0.0039 0.0247 0.1113 0.1801 1.4114 0.0330 
028 +0.1360 0.1360 0.0529 0.0251 0.1108 0.1793 1.4177 0.0300 
029 +0.1367 0.1367 0.0598 0.0248 0.1101 0.1755 1.4373 0.0295 
030 +0.1353 0.1353 0.0553 0.0244 0.1124 0.1778 1.4349 0.0267 
031 +0.1447 0.1447 0.0987 0.0235 0.1129 0.1799 1.4468 0.0241 
032 +0.1411 0.1411 0.0416 0.0234 0.1125 0.1814 1.4505 0.0230 
033 +0.1496 0.1496 0.0337 0.0236 0.1108 0.1836 1.4662 0.0236 
034 +0.1509 0.1509 0.0470 0.0232 0.1122 0.1865 1.4697 0.0226 
035 +0.1462 0.1462 0.0603 0.0236 0.1126 0.1863 1.4614 0.0215 
036 +0.1223 0.1510 0.1029 0.0237 0.1133 0.1865 1.4655 0.0201 
037 +0.1476 0.1476 0.0642 0.0235 0.1131 0.1889 1.4625 0.0198 
038 +0.1480 0.1480 0.0461 0.0236 0.1125 0.1885 1.4657 0.0190 
039 +0.1000 0.1470 0.1047 0.0233 0.1105 0.1845 1.4646 0.0192 
040 +0.1486 0.1486 0.0480 0.0238 0.1098 0.1802 1.4709 0.0182 
041 +0.1497 0.1497 0.0733 0.0237 0.1095 0.1836 1.4695 0.0174 
042 +0.1009 0.1529 0.1052 0.0236 0.1102 0.1848 1.4652 0.0175 
043 +0.1515 0.1515 0.0617 0.0233 0.1103 0.1856 1.4729 0.0166 
044 +0.1497 0.1497 0.0345 0.0231 0.1120 0.1880 1.4783 0.0167 
045 +0.1538 0.1538 0.0629 0.0228 0.1112 0.1918 1.4825 0.0160 
046 +0.1178 0.1548 0.1037 0.0225 0.1116 0.1931 1.4764 0.0158 
047 +0.1537 0.1537 0.0154 0.0228 0.1117 0.1914 1.4835 0.0156 
048 +0.1558 0.1558 0.0434 0.0227 0.1121 0.1935 1.4824 0.0150 
049 +0.1575 0.1575 0.0204 0.0227 0.1112 0.1949 1.4820 0.0146 
050 +0.1564 0.1564 0.0116 0.0228 0.1109 0.1941 1.4895 0.0140 
051 +0.1555 0.1555 0.0185 0.0230 0.1109 0.1914 1.4875 0.0135 
052 +0.1560 0.1560 0.0170 0.0228 0.1109 0.1917 1.4894 0.0130 
053 +0.1579 0.1579 0.0117 0.0227 0.1110 0.1935 1.4926 0.0125 
054 +0.1558 0.1558 0.0448 0.0231 0.1108 0.1911 1.4912 0.0120 
055 +0.1559 0.1559 0.0106 0.0232 0.1103 0.1891 1.4916 0.0117 
056 +0.1562 0.1562 0.0482 0.0230 0.1100 0.1896 1.4918 0.0114 
057 +0.1587 0.1587 0.0639 0.0226 0.1098 0.1905 1.4931 0.0108 
058 +0.1583 0.1583 0.0104 0.0227 0.1106 0.1948 1.4889 0.0105 
059 +0.1603 0.1603 0.0299 0.0228 0.1101 0.1953 1.4943 0.0099 


Global maximum (ObjFunc power K01 ksi chi lambda kappa):
+0.1603 0.1603 0.0299 0.0227 0.1099 0.1938 1.4969 
