
 t   S_max   P_max  K01    mu1    mu2   sigma1 sigma2
001 +0.0004 0.0004 0.0414 0.0899 0.7875 0.0253 0.1228 
002 -3.9752 0.0003 0.4976 0.0914 0.7802 0.0099 0.0498 
003 +0.0003 0.0003 0.0390 0.0913 0.7820 0.0078 0.0424 
004 +0.0003 0.0003 0.0194 0.0907 0.7698 0.0059 0.0257 
005 +0.0003 0.0003 0.0446 0.0925 0.7684 0.0043 0.0207 
006 +0.0004 0.0004 0.0603 0.0930 0.7652 0.0046 0.0138 
007 +0.0166 0.0166 0.0530 0.0957 0.7626 0.0031 0.0094 
008 +0.0167 0.0167 0.0535 0.0966 0.7622 0.0026 0.0069 
009 +0.0168 0.0168 0.0282 0.0978 0.7645 0.0021 0.0056 
010 +0.0169 0.0169 0.0299 0.0983 0.7669 0.0018 0.0046 
011 +0.0169 0.0169 0.0503 0.0985 0.7688 0.0016 0.0040 
012 +0.0170 0.0170 0.0060 0.0989 0.7700 0.0014 0.0035 
013 +0.0170 0.0170 0.0396 0.0989 0.7706 0.0012 0.0029 
014 +0.0170 0.0170 0.0176 0.0991 0.7710 0.0010 0.0024 
015 +0.0170 0.0170 0.0439 0.0992 0.7712 0.0009 0.0021 
016 +0.0170 0.0170 0.0056 0.0992 0.7716 0.0008 0.0018 
017 +0.0171 0.0171 0.0848 0.0994 0.7723 0.0007 0.0016 
018 +0.0158 0.0158 0.0193 0.0996 0.7720 0.0006 0.0016 
019 +0.0171 0.0171 0.0279 0.0995 0.7728 0.0006 0.0015 
020 +0.0171 0.0171 0.0382 0.0996 0.7733 0.0005 0.0014 
021 +0.0171 0.0171 0.0271 0.0995 0.7738 0.0005 0.0013 
022 +0.0171 0.0171 0.0888 0.0995 0.7737 0.0005 0.0013 
023 +0.0171 0.0171 0.0231 0.0994 0.7742 0.0004 0.0012 
024 +0.0171 0.0171 0.0482 0.0993 0.7749 0.0004 0.0011 
025 +0.0171 0.0171 0.0199 0.0994 0.7750 0.0004 0.0010 
026 +0.0171 0.0171 0.0524 0.0996 0.7751 0.0004 0.0011 
027 +0.0171 0.0171 0.0679 0.0996 0.7752 0.0004 0.0011 
028 +0.0171 0.0171 0.0463 0.0996 0.7752 0.0004 0.0010 


Global maximum (ObjFunc power K01 f Omega):
+0.0171 0.0171 0.0463 0.0997 0.7750 
