
 t   S_max   P_max  K01    mu1    mu2   sigma1 sigma2
001 -0.2512 0.0003 0.1251 0.0883 0.7870 0.0276 0.1106 
002 +0.0003 0.0003 0.0095 0.0867 0.7692 0.0131 0.0352 
003 +0.0003 0.0003 0.0522 0.0889 0.7658 0.0095 0.0181 
004 +0.0003 0.0003 0.0822 0.0891 0.7608 0.0074 0.0131 
005 +0.0164 0.0164 0.0347 0.0938 0.7596 0.0052 0.0111 
006 +0.0167 0.0167 0.0451 0.0960 0.7604 0.0038 0.0077 
007 +0.0167 0.0167 0.0341 0.0981 0.7620 0.0025 0.0056 
008 +0.0168 0.0168 0.0415 0.0986 0.7656 0.0022 0.0051 
009 +0.0168 0.0168 0.0845 0.0985 0.7666 0.0021 0.0049 
010 +0.0169 0.0169 0.0061 0.0987 0.7674 0.0018 0.0035 
011 +0.0169 0.0169 0.0007 0.0986 0.7662 0.0015 0.0029 
012 +0.0169 0.0169 0.0453 0.0988 0.7671 0.0013 0.0023 
013 +0.0170 0.0170 0.0648 0.0993 0.7684 0.0010 0.0019 
014 +0.0170 0.0170 0.0569 0.0993 0.7700 0.0009 0.0017 
015 +0.0170 0.0170 0.0226 0.0992 0.7707 0.0008 0.0014 
016 +0.0170 0.0170 0.0497 0.0993 0.7710 0.0008 0.0012 
017 +0.0170 0.0170 0.0716 0.0992 0.7714 0.0007 0.0013 
018 +0.0171 0.0171 0.0226 0.0996 0.7723 0.0006 0.0012 
019 +0.0171 0.0171 0.0089 0.0996 0.7730 0.0006 0.0010 


Global maximum (ObjFunc power K01 f Omega):
+0.0171 0.0171 0.0089 0.0990 0.7731 
