
 t   S_max   P_max  K01    mu1    mu2   sigma1 sigma2
001 +0.0002 0.0002 0.0636 0.0868 0.7883 0.0247 0.1244 
002 -0.6753 0.0003 0.1676 0.0901 0.7712 0.0101 0.0355 
003 +0.0003 0.0003 0.0224 0.0883 0.7683 0.0074 0.0187 
004 +0.0004 0.0004 0.0181 0.0936 0.7634 0.0048 0.0119 
005 +0.0004 0.0004 0.0448 0.0966 0.7597 0.0030 0.0082 
006 +0.0167 0.0167 0.0358 0.0974 0.7628 0.0021 0.0065 
007 +0.0168 0.0168 0.0425 0.0978 0.7651 0.0019 0.0052 
008 +0.0169 0.0169 0.0533 0.0986 0.7679 0.0016 0.0041 
009 +0.0170 0.0170 0.0473 0.0987 0.7705 0.0013 0.0035 
010 +0.0170 0.0170 0.0177 0.0988 0.7705 0.0012 0.0029 
011 +0.0170 0.0170 0.0415 0.0991 0.7706 0.0009 0.0024 
012 +0.0170 0.0170 0.0519 0.0991 0.7716 0.0008 0.0021 
013 +0.0170 0.0170 0.0173 0.0992 0.7717 0.0008 0.0021 
014 +0.0170 0.0170 0.0867 0.0992 0.7727 0.0007 0.0021 
015 +0.0171 0.0171 0.0349 0.0992 0.7733 0.0006 0.0020 
016 +0.0171 0.0171 0.0427 0.0992 0.7735 0.0006 0.0018 
017 +0.0171 0.0171 0.0234 0.0991 0.7736 0.0005 0.0016 
018 +0.0171 0.0171 0.0077 0.0991 0.7739 0.0005 0.0015 
019 +0.0170 0.0170 0.0742 0.0991 0.7734 0.0005 0.0013 
020 +0.0171 0.0171 0.0049 0.0993 0.7736 0.0005 0.0012 
021 +0.0171 0.0171 0.0085 0.0994 0.7737 0.0004 0.0012 
022 +0.0170 0.0170 0.0806 0.0995 0.7737 0.0004 0.0013 
023 +0.0171 0.0171 0.0272 0.0995 0.7742 0.0004 0.0012 
024 +0.0171 0.0171 0.0370 0.0996 0.7742 0.0004 0.0011 
025 +0.0171 0.0171 0.0485 0.0996 0.7741 0.0003 0.0011 
026 +0.0171 0.0171 0.0099 0.0995 0.7745 0.0003 0.0011 
027 +0.0151 0.0151 0.0857 0.0996 0.7744 0.0003 0.0011 
028 +0.0171 0.0171 0.0532 0.0996 0.7749 0.0003 0.0010 
029 +0.0171 0.0171 0.0097 0.0996 0.7742 0.0003 0.0010 
030 +0.0171 0.0171 0.0512 0.0995 0.7742 0.0003 0.0010 


Global maximum (ObjFunc power K01 f Omega):
+0.0171 0.0171 0.0532 0.0998 0.7742 
