
 t   S_max   P_max  K01    mu1    mu2    mu3    mu4   sigma_max 
001 +0.0051 0.0051 0.0041 0.0282 0.1588 0.1338 1.2104 1.1995 
002 +0.0050 0.0050 0.0980 0.0323 0.1547 0.1270 1.2287 0.5117 
003 +0.0061 0.0061 0.0570 0.0299 0.1498 0.1444 1.1547 0.2925 
004 +0.0064 0.0064 0.0580 0.0340 0.1476 0.1512 1.2563 0.1930 
005 +0.0087 0.0087 0.0772 0.0320 0.1345 0.1665 1.2741 0.1483 
006 +0.0095 0.0095 0.0077 0.0298 0.1317 0.1700 1.2865 0.1224 
007 +0.0114 0.0114 0.0933 0.0286 0.1259 0.1658 1.2741 0.1422 
008 +0.0095 0.0095 0.0279 0.0304 0.1246 0.1669 1.2727 0.1265 
009 +0.0111 0.0111 0.0216 0.0288 0.1208 0.1749 1.3126 0.1378 
010 +0.0110 0.0110 0.0607 0.0266 0.1185 0.1766 1.3736 0.1217 
011 +0.0124 0.0124 0.0900 0.0264 0.1162 0.1691 1.3846 0.1134 
012 +0.0137 0.0137 0.0381 0.0254 0.1169 0.1729 1.3596 0.1058 
013 +0.0478 0.1188 0.1071 0.0254 0.1192 0.1641 1.3459 0.0933 
014 +0.1027 0.1027 0.0891 0.0255 0.1187 0.1600 1.3546 0.0864 
015 +0.0132 0.0132 0.0310 0.0253 0.1192 0.1521 1.3639 0.0858 
016 +0.1086 0.1086 0.0984 0.0245 0.1222 0.1518 1.3819 0.0737 
017 +0.1076 0.1076 0.0581 0.0244 0.1237 0.1511 1.3827 0.0670 
018 +0.1070 0.1070 0.0118 0.0248 0.1224 0.1498 1.3844 0.0608 
019 +0.1149 0.1149 0.0895 0.0243 0.1227 0.1558 1.3856 0.0593 
020 +0.0195 0.1131 0.1094 0.0246 0.1228 0.1498 1.3793 0.0569 
021 +0.1120 0.1120 0.0423 0.0245 0.1225 0.1495 1.3846 0.0541 
022 +0.1151 0.1151 0.0795 0.0248 0.1204 0.1490 1.3970 0.0523 
023 +0.1008 0.1008 0.0898 0.0252 0.1208 0.1464 1.4062 0.0527 
024 +0.1170 0.1170 0.0008 0.0247 0.1216 0.1483 1.4128 0.0506 
025 +0.1169 0.1169 0.0400 0.0245 0.1225 0.1475 1.4112 0.0478 
026 +0.1167 0.1167 0.0709 0.0236 0.1218 0.1521 1.4119 0.0462 
027 +0.1222 0.1222 0.0194 0.0241 0.1220 0.1545 1.4282 0.0444 
028 +0.1198 0.1198 0.0744 0.0243 0.1206 0.1567 1.4301 0.0430 
029 +0.1163 0.1163 0.0887 0.0242 0.1213 0.1573 1.4104 0.0423 
030 +0.1283 0.1283 0.0579 0.0237 0.1193 0.1593 1.4258 0.0415 
031 +0.1327 0.1327 0.0169 0.0232 0.1207 0.1598 1.4407 0.0397 
032 +0.1404 0.1404 0.0557 0.0229 0.1196 0.1653 1.4635 0.0366 
033 +0.1348 0.1348 0.0980 0.0224 0.1213 0.1680 1.4660 0.0345 
034 +0.1417 0.1417 0.0848 0.0225 0.1192 0.1710 1.4713 0.0322 
035 +0.1340 0.1340 0.0798 0.0226 0.1199 0.1724 1.4622 0.0314 
036 +0.1394 0.1394 0.0707 0.0227 0.1190 0.1759 1.4608 0.0305 
037 +0.1403 0.1403 0.0759 0.0229 0.1178 0.1783 1.4554 0.0297 
038 +0.0936 0.1477 0.1054 0.0230 0.1199 0.1771 1.4501 0.0289 
039 +0.1341 0.1341 0.0911 0.0227 0.1197 0.1757 1.4581 0.0284 
040 +0.1375 0.1375 0.0001 0.0224 0.1194 0.1749 1.4581 0.0277 
041 +0.1409 0.1409 0.0728 0.0226 0.1188 0.1757 1.4612 0.0268 
042 +0.1417 0.1417 0.0081 0.0228 0.1173 0.1790 1.4591 0.0260 
043 +0.1483 0.1483 0.0096 0.0228 0.1156 0.1845 1.4629 0.0249 
044 +0.0680 0.1453 0.1077 0.0225 0.1154 0.1842 1.4614 0.0248 
045 +0.0135 0.0135 0.0630 0.0221 0.1138 0.1837 1.4665 0.0241 
046 +0.1471 0.1471 0.0423 0.0224 0.1133 0.1855 1.4716 0.0237 
047 +0.1473 0.1473 0.0580 0.0227 0.1144 0.1835 1.4754 0.0229 
048 +0.1504 0.1504 0.0010 0.0226 0.1144 0.1851 1.4782 0.0222 
049 +0.1502 0.1502 0.0093 0.0225 0.1141 0.1847 1.4818 0.0216 
050 +0.1504 0.1504 0.0363 0.0226 0.1141 0.1853 1.4819 0.0208 
051 +0.1511 0.1511 0.0479 0.0227 0.1138 0.1858 1.4824 0.0198 
052 +0.1501 0.1510 0.1001 0.0227 0.1137 0.1874 1.4755 0.0192 
053 +0.1488 0.1488 0.0194 0.0227 0.1139 0.1879 1.4715 0.0184 
054 +0.1515 0.1515 0.0938 0.0226 0.1142 0.1896 1.4750 0.0178 
055 +0.1520 0.1520 0.0465 0.0227 0.1128 0.1899 1.4771 0.0170 
056 +0.1560 0.1560 0.0931 0.0228 0.1116 0.1920 1.4821 0.0166 
057 +0.1575 0.1575 0.0002 0.0227 0.1102 0.1937 1.4842 0.0161 
058 +0.1569 0.1569 0.0464 0.0224 0.1099 0.1941 1.4852 0.0155 
059 +0.1567 0.1567 0.0340 0.0226 0.1101 0.1937 1.4894 0.0149 
060 +0.1556 0.1556 0.0657 0.0227 0.1099 0.1939 1.4873 0.0145 
061 +0.1573 0.1573 0.0522 0.0227 0.1094 0.1948 1.4889 0.0142 
062 +0.1588 0.1588 0.0910 0.0228 0.1084 0.1955 1.4878 0.0136 
063 +0.0287 0.1581 0.1129 0.0231 0.1085 0.1941 1.4802 0.0135 
064 +0.1565 0.1565 0.0465 0.0233 0.1082 0.1932 1.4828 0.0132 
