
 t   S_max   P_max  K01    mu1    mu2    mu3    mu4   sigma_max 
065 +0.1582 0.1582 0.0133 0.0232 0.1074 0.1944 1.4823 0.0129 
066 +0.1562 0.1562 0.0338 0.0233 0.1084 0.1937 1.4844 0.0127 
067 +0.1567 0.1567 0.0960 0.0235 0.1084 0.1931 1.4856 0.0124 
068 +0.1589 0.1589 0.0548 0.0233 0.1084 0.1946 1.4916 0.0119 
069 +0.1583 0.1583 0.0716 0.0231 0.1081 0.1955 1.4899 0.0116 
070 +0.1591 0.1591 0.0744 0.0233 0.1079 0.1964 1.4905 0.0112 
071 +0.1596 0.1596 0.0732 0.0234 0.1080 0.1947 1.4916 0.0110 
072 +0.1605 0.1605 0.0254 0.0234 0.1069 0.1958 1.4903 0.0107 
073 +0.1593 0.1593 0.0065 0.0237 0.1053 0.1964 1.4898 0.0105 
074 +0.1600 0.1600 0.0542 0.0236 0.1048 0.1956 1.4902 0.0103 
075 +0.1612 0.1612 0.0797 0.0237 0.1038 0.1966 1.4915 0.0100 


Global maximum (ObjFunc power K01 ksi chi lambda kappa):
+0.1612 0.1612 0.0797 0.0237 0.1053 0.1953 1.4923 
