
 t   S_max   P_max  K01    mu1    mu2   sigma1 sigma2
001 -5.1657 0.0004 0.6166 0.0876 0.8076 0.0261 0.1326 
002 -6.7180 0.0091 0.7727 0.0920 0.8027 0.0112 0.0585 
003 -8.3237 0.0074 0.9331 0.0915 0.7947 0.0073 0.0289 
004 -1.7842 0.0093 0.2794 0.0945 0.7873 0.0057 0.0262 
005 -0.5167 0.0167 0.1533 0.0945 0.7721 0.0045 0.0210 
006 -0.6498 0.0169 0.1667 0.0964 0.7670 0.0033 0.0208 
007 -0.3871 0.0169 0.1404 0.0971 0.7627 0.0028 0.0152 
008 +0.0167 0.0167 0.0791 0.0971 0.7610 0.0024 0.0120 
009 +0.0168 0.0168 0.0229 0.0976 0.7608 0.0019 0.0096 
010 +0.0167 0.0167 0.0393 0.0974 0.7576 0.0016 0.0081 
011 +0.0168 0.0168 0.0876 0.0971 0.7601 0.0014 0.0080 
012 +0.0168 0.0168 0.0294 0.0978 0.7605 0.0014 0.0063 
013 +0.0170 0.0170 0.0642 0.0980 0.7647 0.0012 0.0052 
014 +0.0169 0.0169 0.0617 0.0979 0.7657 0.0012 0.0050 
015 +0.0170 0.0170 0.0885 0.0984 0.7661 0.0010 0.0039 
016 -0.0372 0.0147 0.1052 0.0986 0.7650 0.0009 0.0042 
017 +0.0170 0.0170 0.0975 0.0986 0.7667 0.0009 0.0038 
018 +0.0170 0.0170 0.0467 0.0988 0.7663 0.0009 0.0032 
019 +0.0170 0.0170 0.0990 0.0989 0.7658 0.0008 0.0030 
020 +0.0170 0.0170 0.0535 0.0988 0.7678 0.0008 0.0027 
021 -0.1058 0.0170 0.1123 0.0989 0.7672 0.0007 0.0025 
022 +0.0170 0.0170 0.0925 0.0992 0.7665 0.0006 0.0024 
023 +0.0170 0.0170 0.0268 0.0993 0.7663 0.0006 0.0022 
024 +0.0170 0.0170 0.0999 0.0993 0.7665 0.0006 0.0020 
025 +0.0170 0.0170 0.0307 0.0993 0.7670 0.0005 0.0018 


Global maximum (ObjFunc power K01 f Omega):
+0.0170 0.0170 0.0268 0.0991 0.7675 
